日期,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02
王者荣耀,59648217,55228429,59149817,57535457,59144033,56446407,57950760,58301471,54511194,56002023,54038157,56539656,87873860,87421358
和平精英,56783284,55798335,59964423,57208934,57430703,52138813,53725969,57017216,50287676,51098811,48459156,51691298,60943745,70925763
剑与远征 - AFK,51953247,52180812,43196332,31980127,26344451,19466934,0,0,0,0,0,0,0,0
三国志·战略版,35411242,43885176,54568033,52406340,53620079,48276235,42734292,46862120,45295078,34093639,38883157,37154647,0,29417671
梦幻西游,32654366,37350482,42239377,41006064,44509369,39203623,44031083,50434016,45859039,34110570,36646966,45974373,42501209,29485716
爱奇艺-青春有你3独播,29219523,21392441,24025061,19981035,21428668,19544143,21008247,20539799,18869270,0,18984607,18519765,19397798,24884473
腾讯视频-锦心似玉-全网独播,28590419,25028076,24877224,27225507,27631598,27879464,27615624,28767005,26894314,27507757,26952629,30008450,25334574,31198663
穿越火线:枪战王者,22436449,0,0,0,0,0,0,20490444,0,0,0,0,0,0
抖音,20665275,26957539,29533559,28482503,29452209,28515009,29485535,29472371,27588896,28534694,27530274,31367875,34296794,41012632
阴阳师,17280039,0,0,0,17388032,0,0,0,0,0,0,0,0,0
QQ飞车,0,17919105,0,0,0,0,0,0,0,0,0,0,0,0
新笑傲江湖,0,16657678,18679260,0,0,0,0,0,0,0,0,0,0,0
率土之滨,0,0,18941550,18625052,22096685,17746800,0,0,21270174,19414443,0,0,0,0
公主连结Re:Dive,0,0,0,16687408,0,0,0,0,0,0,0,0,0,0
荒野乱斗 (Brawl Stars),0,0,0,0,0,31813439,0,0,0,0,0,0,0,0
三国志幻想大陆,0,0,0,0,0,0,41274683,20507660,18334620,0,0,0,0,0
最强蜗牛,0,0,0,0,0,0,27242743,22224425,15648845,0,0,0,0,0
新神魔大陆,0,0,0,0,0,0,19209752,0,0,0,0,0,0,0
原神,0,0,0,0,0,0,0,0,0,45333335,24759848,28713897,0,22657453
万国觉醒 - RoK,0,0,0,0,0,0,0,0,0,38672698,24384400,18785768,24652824,14677563
天涯明月刀,0,0,0,0,0,0,0,0,0,26890720,48955236,45809102,27905488,23300426
天谕,0,0,0,0,0,0,0,0,0,0,0,0,17945903,0
使命召唤手游,0,0,0,0,0,0,0,0,0,0,0,0,17181245,0
